_0x0                                                             0x0-2018-06-24
_1password                                                       1password-0.5.5
_2048-in-terminal                                                2048-in-terminal-2017-11-29
_20kly                                                           20kly-1.4
_2bwm                                                            2bwm-0.2
go-2fa                                                           2fa-1.1.0
_389-ds-base                                                     389-ds-base-1.3.5.19
pong3d                                                           3dpong-0.5
all-cabal-hashes                                                 3f0c3944190bf34286e4e80620fede11dd688f68.tar.gz
rdf4store                                                        4store-1.1.6
tiny8086                                                         8086tiny-1.25
_90secondportraits                                               90secondportraits-1.01b
_915resolution                                                   915resolution-0.5.3
_9pfs                                                            9pfs-20150918
a2jmidid                                                         a2jmidid-8
a2ps                                                             a2ps-4.14
a52dec                                                           a52dec-0.7.4p4
aacgain                                                          aacgain-1.9.0
aacskeys                                                         aacskeys-0.4.0e
aalib                                                            aalib-1.4rc5
abc-verifier                                                     abc-verifier-2018-07-08
abcde                                                            abcde-2.9.3
abcl                                                             abcl-1.5.0
abcm2ps                                                          abcm2ps-8.14.4
abcmidi                                                          abcMIDI-2019.04.22
abduco                                                           abduco-2018-05-16
abella                                                           abella-2.0.6
abi-compliance-checker                                           abi-compliance-checker-2.3
abi-dumper                                                       abi-dumper-1.1
abiword                                                          abiword-3.0.2
abook                                                            abook-0.6.1
abootimg                                                         abootimg-0.6
abseil-cpp                                                       abseil-cpp-20190322-eab2078b53c9e3d9d240135c09d27e3393acb50a
abydos                                                           abydos-1.23
gnome3.accerciser                                                accerciser-3.32.1
accounts-qt                                                      accounts-qt-1.15
libsForQt5.accounts-qt                                           accounts-qt-1.15
libsForQt511.accounts-qt                                         accounts-qt-1.15
accountsservice                                                  accountsservice-0.6.55
acct                                                             acct-6.6.4
accuraterip-checksum                                             accuraterip-checksum-1.5
acd-cli                                                          acd_cli-0.3.2
ace                                                              ace-6.5.5
acgtk                                                            acgtk-1.5.0
acl                                                              acl-2.2.53
acl2                                                             acl2-8.1
acme-client                                                      acme-client-0.1.16
acme-sh                                                          acme.sh-2.8.1
acoustidFingerprinter                                            acoustid-fingerprinter-0.6
acpi                                                             acpi-1.7
linuxPackages_hardkernel_4_14.acpi_call                          acpi-call-4.14.102-156
linuxPackages_4_14.acpi_call                                     acpi-call-4.14.116
linuxPackages-libre.acpi_call                                    acpi-call-4.19.40
linuxPackages_xen_dom0.acpi_call                                 acpi-call-4.19.40
linuxPackages.acpi_call                                          acpi-call-4.19.40
linuxPackages_hardened.acpi_call                                 acpi-call-4.19.40
linuxPackages_xen_dom0_hardened.acpi_call                        acpi-call-4.19.40
linuxPackages_4_4.acpi_call                                      acpi-call-4.4.179
linuxPackages_4_9.acpi_call                                      acpi-call-4.9.173
linuxPackages_5_0.acpi_call                                      acpi-call-5.0.13
linuxPackages_testing_bcachefs.acpi_call                         acpi-call-5.0.2019.04.04
linuxPackages_latest-libre.acpi_call                             acpi-call-5.1
linuxPackages_5_1.acpi_call                                      acpi-call-5.1
linuxPackages_latest_hardened.acpi_call                          acpi-call-5.1
linuxPackages_latest_xen_dom0.acpi_call                          acpi-call-5.1
linuxPackages_latest_xen_dom0_hardened.acpi_call                 acpi-call-5.1
linuxPackages_testing_hardened.acpi_call                         acpi-call-5.1-rc7
acpica-tools                                                     acpica-tools-20190405
pmtools                                                          acpica-tools-20190405
acpid                                                            acpid-2.0.31
acpilight                                                        acpilight-1.1
acpitool                                                         acpitool-0.5.1
acsccid                                                          acsccid-1.1.6
actdiag                                                          actdiag-0.5.4
actkbd                                                           actkbd-0.2.8
caf                                                              actor-framework-0.16.3
adapta-backgrounds                                               adapta-backgrounds-0.5.2.3
adapta-gtk-theme                                                 adapta-gtk-theme-3.95.0.11
adapta-kde-theme                                                 adapta-kde-theme-20180512
adb-sync                                                         adb-sync-2016-08-31
adbfs-rootless                                                   adbfs-rootless-2016-10-02
python37Packages.addic7ed-cli                                    addic7ed-cli-1.4.5
python27Packages.addic7ed-cli                                    addic7ed-cli-1.4.5
adlplug                                                          ADLplug-1.0.0
adms                                                             adms-2.3.6
adns                                                             adns-1.5.1
adobe-reader                                                     adobe-reader-9.5.5-1
adobeReader                                                      adobe-reader-9.5.5-1
adom                                                             adom-1.2.0_pre23-noteye
adoptopenjdk-bin                                                 adoptopenjdk-hotspot-bin-11.0.3
